summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or,street_name,intersecting_street,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle,vehicle_year,meter_number,feet_from_curb,house_number,time_first_observed,violation_legal_code,violation_description
1484697303,JER1863,NY,PAS,2022-06-10T00:00:00.000,67,SDN,TOYOT,P,34330,179,0,20221210,10,10,1,160195,0001,0000,1037A,NY,F,W 28TH ST,CHELSEA PK,0,408,E3,BBBBBBB,ALL,ALL,BLK,0,2004,-,0,,,,
1484697315,KEV4487,NY,PAS,2022-06-13T00:00:00.000,51,SUBN,JEEP,K,34310,16400,11010,20220908,10,10,1,160195,0001,0000,1045A,NY,O,27TH DR,,0,408,F3,BBBBBBB,ALL,ALL,GRAY,0,2017,-,0,436,,,
1484697625,H73NYD,NJ,PAS,2022-06-19T00:00:00.000,63,SDN,JEEP,N,30640,13015,28540,0,1,1,1,161315,0001,0000,1116A,NY,,SOUTH ST,,0,408,F3,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,109,,,
1484697674,GJC9296,NY,PAS,2022-06-19T00:00:00.000,63,SUBN,LEXUS,N,30640,13015,28540,20230820,1,1,1,161315,0001,0000,1052A,NY,,SOUTH ST,,0,408,F3,BBBBBBB,ALL,ALL,,0,0,-,0,109,,,
1484697686,M51PUV,NJ,PAS,2022-06-19T00:00:00.000,63,SDN,HYUND,N,30640,13015,28540,0,1,1,1,161315,0001,0000,1107A,NY,,SOUTH ST,,0,408,F3,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,109,,,
1484697698,H73NYD,NJ,PAS,2022-06-23T00:00:00.000,63,,JEEP,K,30640,13015,28540,0,1,1,1,161315,0001,0000,1050A,NY,O,SOUTH ST,,0,408,E3,BBBBBBB,ALL,ALL,,0,0,-,0,109,,,
1484697728,M51PUV,NJ,PAS,2022-06-23T00:00:00.000,63,,HYUND,K,30640,13015,28540,0,1,1,1,161315,0001,0000,1101A,NY,O,SOUTH ST,,0,408,F3,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,109,,,
1484698204,KJJ8637,NY,PAS,2022-06-20T00:00:00.000,67,SUBN,TOYOT,N,11585,26390,15010,20230120,5,5,1,160954,0001,0000,1205P,NY,F,COLEMAN PLAYGROUND,,0,408,E3,BBBBBBB,ALL,ALL,WHITE,0,2021,-,0,,,,
1484698381,JEC8631,NY,PAS,2022-06-19T00:00:00.000,98,SUBN,NISSA,N,0,0,0,20230121,10,10,1,161348,0001,0000,0535P,NY,,S/S W 28TH STREET,W/O 9TH AVENUE,0,408,B,BBBBBBB,ALL,ALL,BLK,0,2002,-,0,,,,
1484698721,K21PNH,NJ,PAS,2022-06-25T00:00:00.000,10,SUBN,JEEP,K,33190,25190,31990,0,6,6,1,161134,0001,0000,0307P,NY,O,WASHINGTON SQ SO,,0,408,B,BBBBBBB,ALL,ALL,RED,0,0,-,0,40,,,
1484698769,LVK1404,PA,PAS,2022-06-05T00:00:00.000,10,SUBN,NISSA,P,33190,25190,31990,0,6,6,1,161134,0001,0000,0225P,NY,O,WASHINGTON SQUARE SO,,0,408,B,BBBBBBB,ALL,ALL,GY,0,0,-,0,40,,,
1484699683,KSX6366,FL,PAS,2022-06-25T00:00:00.000,51,SUBN,SUBAR,K,30640,24050,0,20230713,1,1,1,161331,0001,0000,0320P,NY,,SOUTH ST,JOHN ST,0,408,C4,BBBBBBB,ALL,ALL,GRAY,0,2005,-,0,,,,
1484699750,GCX5397,NY,PAS,2023-06-19T00:00:00.000,63,SUBN,CHEVR,N,30640,13015,28540,20230103,1,1,1,161331,0001,0000,1102A,NY,O,SOUTH ST,,0,408,F3,BBBBBBB,ALL,ALL,WHT,0,2010,-,0,109,,,
1484703261,KUH5328,NY,PAS,2022-06-09T00:00:00.000,45,SDN,NISSA,K,0,0,0,20240321,45,45,2,160541,0002,0000,0606P,BX,F,PARK RD,ORCHARD BEACH PARKIN,0,408,F3,BBBBBBB,ALL,ALL,BLK,0,2002,-,0,1,,,
1484710629,KUH1765,NY,OMS,2022-06-30T00:00:00.000,14,SDN,TOYOT,K,33340,0,0,20220930,100,100,3,160561,0003,0000,1250P,Q,F,B 97 ST,SHORE FT PKWY,0,408,C,BBBBBBB,ALL,ALL,BLACK,0,2022,-,0,,,,
1484717909,HJJ9998,NY,PAS,2022-06-10T00:00:00.000,20,SUBN,HONDA,K,34440,0,0,20221205,101,101,3,160296,0003,0000,1031A,Q,O,B 125TH ST,PARKING LOT,0,408,C,BBBBBBB,ALL,ALL,RED,0,2005,-,0,,,,
1484720581,GHR524,FL,PAS,2022-07-03T00:00:00.000,68,VAN,CHRYS,K,0,0,0,0,122,122,5,160110,0005,0000,1132A,R,,SMITH BEACH,LOT 2,0,408,B,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,
1484720600,G15PTU,NJ,PAS,2022-07-03T00:00:00.000,68,SUBN,CHEVR,K,0,0,0,0,122,122,5,160110,0005,0000,1135A,R,,SMITH BEACH,LOT 2,0,408,A1,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,
1484720829,JLJ6406,NY,PAS,2022-06-18T00:00:00.000,27,SDN,NISSA,K,11210,22695,0,20220716,123,123,5,160470,0005,0000,0607P,R,,WOLFES POND PARK,CHESTER AVE,0,408,D3,BBBBBBB,ALL,ALL,BLACK,0,2022,-,0,,,,
1484721317,KNZ4744,NY,PAS,2022-06-29T00:00:00.000,20,SUBN,ME/BE,K,23904,25680,21950,20230902,120,120,7,160548,0007,0000,0712P,R,,CLOVE LAKES PK,,0,408,D3,BBBBBBB,ALL,ALL,WHITE,0,2021,-,0,,,,
1484721329,HEZ7860,NY,PAS,2022-07-04T00:00:00.000,20,SUBN,SUBAR,K,39202,0,0,20240305,122,122,5,160548,0005,0000,0235P,R,,MIDLAND BEACH,LOT 8,0,408,C4,BBBBBBB,ALL,ALL,GL,0,2016,-,0,,,,
1484721330,HDE5505,NY,PAS,2022-07-04T00:00:00.000,20,SUBN,ME/BE,K,39202,0,0,20240303,122,122,5,160548,0005,0000,0156P,R,,MIDLAND BEACH,LOT 8,0,408,D,BBBBBBB,ALL,ALL,WHITE,0,2019,-,0,,,,
1484721809,GDM5641,NY,PAS,2022-07-04T00:00:00.000,20,SDN,LEXUS,K,0,0,0,20230207,123,123,5,160073,0005,0000,0148P,R,,,,0,408,F1,BBBBBBB,ALL,ALL,BLK,0,2021,-,0,,,,
1484724136,JEB6269,NY,PAS,2022-07-04T00:00:00.000,68,SDN,CHEVR,N,22278,0,0,20221018,122,122,5,160690,0005,0000,0626P,R,,CEDAR GROVE BEACH,PARKING LOT,0,408,F3,BBBBBBB,ALL,ALL,SILVE,0,2015,-,0,,,,
1484725888,KET8159,NY,PAS,2022-07-09T00:00:00.000,20,SDN,CHEVR,K,42850,33720,61830,20221029,84,84,4,160448,0004,0000,0841P,K,F,FURMAN ST,,0,408,C4,BBBBBBB,ALL,ALL,SILVE,0,2011,-,0,60,,,
1484725955,KSG1672,NY,PAS,2022-06-15T00:00:00.000,27,SDN,VOLKS,K,0,13820,0,20231007,84,84,4,160448,0004,0000,0613P,K,,FURMAN,BROOKLYN BRIDGE PARK,0,408,E3,BBBBBBB,ALL,ALL,BLACK,0,2018,-,0,150,,,
1484726352,KFR7708,NY,PAS,2022-06-11T00:00:00.000,14,SUBN,ACURA,K,13820,0,0,20220909,84,84,4,161241,0004,0000,0940A,K,,BROOKLYN BRIDGE PK,BRIDGE PK,0,408,F3,BBBBBBB,ALL,ALL,WHITE,0,2020,-,0,150,,,
1484726364,JHJ2036,NY,PAS,2022-06-17T00:00:00.000,14,SUBN,ROVER,K,0,0,0,20230416,84,84,4,161241,0004,0000,1151A,K,F,OPP ADAMS STREET,BROOKLYN BRIDGE PARK,0,408,D3,BBBBBBB,ALL,ALL,BLK,0,2019,-,0,,,,
1484726832,KGE9682,NY,PAS,2022-06-04T00:00:00.000,68,SUBN,HONDA,K,13820,0,0,20221011,84,84,4,160116,0004,0000,1221P,K,,BROOKLYN BRIDGE PK,159 BRIDGE PK DR,0,408,C,BBBBBBB,ALL,ALL,BLUE,0,2020,-,0,,,,
1484726844,HSZ5866,NY,PAS,2022-06-04T00:00:00.000,68,SUBN,BMW,K,13820,0,0,20221205,84,84,4,160116,0004,0000,1220P,K,,BROOKLYN BRIDGE PK,BRIDGE PK,0,408,A1,BBBBBBB,ALL,ALL,BLACK,0,2015,-,0,,,,
1484731130,KFP2694,NY,PAS,2022-06-25T00:00:00.000,20,SDN,HONDA,K,12220,0,0,20230726,75,75,5,160422,0005,0000,0350P,Q,,HIGHLAND PK,RIDGEWOOD,0,408,C,BBBBBBB,ALL,ALL,GREY,0,2009,-,0,,,,
1484741596,KED2437,NY,PAS,2022-06-25T00:00:00.000,98,SUBN,FORD,N,22420,67320,26850,20220805,42,42,2,161201,0002,0000,0922A,BX,O,CROTONA PARK EAST,,0,408,C,BBBBBBB,ALL,ALL,GREY,0,2011,-,0,1624,,,
1484741640,HCA3747,NY,PAS,2022-07-05T00:00:00.000,98,SDN,NISSA,K,29620,8920,12550,20231013,46,46,2,161201,0002,0000,0214P,NY,O,EAST TREMONT AVE,,0,408,D3,BBBBBBB,ALL,ALL,BL,0,2012,-,0,324,,,
1484741780,KEX2744,NY,PAS,2022-06-30T00:00:00.000,20,SUBN,HONDA,N,29520,12335,0,20221007,44,44,2,160695,0002,0000,0430A,BX,,MT EDEN PKWY,MT EDEN MALLS,0,408,E5,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,
1484741808,HLUT83,FL,PAS,2022-06-30T00:00:00.000,20,,BUICK,N,63920,12335,0,0,44,44,2,160695,0002,0000,0436A,BX,,SELWYN AVE,MT EDEN MALLS,0,408,D,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,
1484741810,KWF4643,NY,PAS,2022-06-30T00:00:00.000,20,FOUR,NISSA,N,29520,12335,0,20240509,44,44,2,160695,0002,0000,0440A,BX,,MT EDEN PKWY,MT EDEN MALLS,0,408,D,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,
1484741821,KGR7371,NY,PAS,2022-06-30T00:00:00.000,20,SUBN,CHEVR,N,29520,12335,0,20221202,44,44,2,160695,0002,0000,0445A,BX,,MT EDEN PKWY,MT EDEN MALLS,0,408,D,BBBBBBB,ALL,ALL,GREY,0,2002,-,0,,,,
1484741833,GXA8473,NY,PAS,2022-06-30T00:00:00.000,20,SUBN,FORD,N,0,12335,0,20230211,44,44,2,160695,0002,0000,0449A,BX,,EAST BURN AVE,MT EDEN MALLS,0,408,D,BBBBBBB,ALL,ALL,TAN,0,2005,-,0,,,,
1484741857,G10NPU,NJ,PAS,2022-07-03T00:00:00.000,14,,HONDA,K,22320,22425,0,0,42,42,2,160695,0002,0000,0509A,BX,,CROTONA AVE,CROTONA PARK,0,408,B,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,
1484741948,HVR3038,OH,PAS,2022-06-30T00:00:00.000,51,,NISSA,N,18820,0,0,0,46,46,2,160695,0002,0000,0405A,BX,,CEDAR AVE,UNIVERSITY WOODS PAR,0,408,E3,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,
1484750809,LNY1417,PA,PAS,2022-07-03T00:00:00.000,51,SDN,HYUND,K,19720,22425,0,0,42,42,2,160567,0002,0000,1248P,NY,,CLAREMONT PKWY,CROTONA PK,0,408,E5,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,
1484751050,H62PXP,NJ,PAS,2022-07-03T00:00:00.000,10,,,K,22320,22425,0,0,42,42,2,160568,0002,0000,0448P,BX,,CROTONA AVE,CROTONA PK,0,408,E3,BBBBBBB,ALL,ALL,WT,0,0,-,0,,,,
1484751073,KRT3436,NY,PAS,2022-06-26T00:00:00.000,14,SUBN,HONDA,N,22320,19720,22520,20231118,42,42,2,160568,0002,0000,0537P,BX,F,CROTONA AVE,,0,408,J2,BBBBBBB,ALL,ALL,BLUE,0,2009,-,0,1700,,,
1484751632,LYD2422,PA,PAS,2022-06-18T00:00:00.000,20,,SUBAR,K,9020,0,0,0,46,46,2,160695,0002,0000,0206A,BX,,AQUEDUCT AVE E,AQUEDUCT LAND PL,0,408,E3,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,
1484751759,KDT8949,NY,PAS,2022-06-11T00:00:00.000,14,SDN,BMW,K,22320,22425,0,20200804,42,42,2,160695,0002,0000,0744P,BX,,CROTONA AVE,CROTONA PARK,0,408,E3,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,
1484751978,KUY9819,NY,PAS,2022-06-06T00:00:00.000,20,,DODGE,K,68720,0,0,20240306,41,41,2,160955,0002,0000,1002A,BX,O,TIFFANY ST,BARRETO POINT PARK,0,408,C,BBBBBBB,ALL,ALL,BLUE,0,2010,-,0,310,,,
1484751980,HYT3463,NY,PAS,2022-06-05T00:00:00.000,20,SUBN,ACURA,K,71750,0,0,20240508,41,41,2,160955,0002,0000,0222P,BX,O,VIELE AVE,BARRETO POINT PARK,0,408,D,BBBBBBB,ALL,ALL,WH,0,2020,-,0,,,,
1484752028,KBS8149,PA,PAS,2022-06-06T00:00:00.000,53,SUBN,HONDA,K,54520,12150,0,0,41,41,2,160955,0002,0000,1023A,BX,O,OAK POINT AVE,DRAKE PARK,0,408,D,BBBBBBB,ALL,ALL,BLU,0,0,-,0,1355,,,
1484752030,KSE3609,NY,PAS,2022-06-06T00:00:00.000,20,SUBN,HONDA,K,41620,12150,0,20230912,41,41,2,160955,0002,0000,1030A,BX,O,HUNTS POINT AVE,DRAKE PARK,0,408,F6,BBBBBBB,ALL,ALL,BLUE,0,2018,-,0,501,,,
1484752260,JKB9122,NY,PAS,2022-06-05T00:00:00.000,51,SDN,HYUND,K,22320,22425,0,20210619,42,42,2,161201,0002,0000,1223P,BX,F,CROTONA AVE,CROTONA PARK,0,408,D,BBBBBBB,ALL,ALL,RED,0,2015,-,0,1700,,,
1484752272,KSZ7897,NY,PAS,2022-06-06T00:00:00.000,14,SDN,LEXUS,K,36420,58870,0,20231115,52,52,2,161201,0002,0000,1109A,BX,O,GRAND CONCOURSE,POE PARK,0,408,E3,BBBBBBB,ALL,ALL,BLK,0,2016,-,0,2593,,,
1484752296,HBB1279,NY,PAS,2022-06-05T00:00:00.000,14,SUBN,LEXUS,K,22320,22425,0,20230929,42,42,2,161201,0002,0000,0832A,BX,F,CROTONA AVE,CROTONA PARK,0,408,C,BBBBBBB,ALL,ALL,SILVE,0,2005,-,0,1700,,,
1484752314,HRG9814,NY,PAS,2022-06-08T00:00:00.000,20,SDN,TOYOT,K,20720,12745,0,20230530,40,40,2,161201,0002,0000,0902A,BX,O,COLLEGE AVE,PATTERSON PLAYGROUND,0,408,C,BBBBBBB,ALL,ALL,GREY,0,2017,-,0,470,,,
1484752752,KKD1739,NY,PAS,2022-06-10T00:00:00.000,20,SUBN,TOYOT,K,22620,22425,0,20230307,42,42,2,161201,0002,0000,0950A,BX,O,CROTONA PARK SOUTH,CROTONA PARK,0,408,C,BBBBBBB,ALL,ALL,BLK,0,2009,-,0,642,,,
1484754906,LHL7735,PA,PAS,2022-06-11T00:00:00.000,14,,HONDA,K,22320,22425,0,0,42,42,2,160695,0002,0000,0749P,BX,,CROTONA AVE,CROTONA PARK,0,408,D,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,
1484763269,GZJ6596,NY,PAS,2022-06-11T00:00:00.000,20,SUBN,FORD,K,29090,24940,0,20230615,113,113,3,160933,0003,0000,0100P,Q,F,BAISLEY BLVD,177 ST,0,408,D,BBBBBBB,ALL,ALL,BLK,0,2013,-,0,,,,
1484765035,KSP2161,NY,PAS,2022-06-05T00:00:00.000,20,SUBN,HONDA,K,33340,60805,0,20230819,100,100,3,160569,0003,0000,0434P,Q,F,B 97,ROCKAWAY BEACH,0,408,D,BBBBBBB,ALL,ALL,GRAY,0,2006,-,0,,,,
1484765047,JHL7394,NY,PAS,2022-06-05T00:00:00.000,20,SUBN,HONDA,K,33340,0,0,20230509,100,100,3,160569,0003,0000,0430P,Q,F,B 97,ROCKAWAY BEACH COMMA,0,408,D,BBBBBBB,ALL,ALL,WHITE,0,2019,-,0,,,,
1484765096,KNV1564,NY,PAS,2022-06-26T00:00:00.000,14,SUBN,CHEVR,K,33690,0,0,20230615,100,100,3,160569,0003,0000,0453A,NY,F,B 106TH,ROCKAWAY,0,408,D,BBBBBBB,ALL,ALL,BLUE,0,2021,-,0,,,,
1484765102,KEK4221,NY,PAS,2022-06-26T00:00:00.000,14,SDN,KIA,K,33690,0,0,20220814,100,100,3,160569,0003,0000,0455P,Q,F,B 106TH,SHORE FT PKWY,0,408,C,BBBBBBB,ALL,ALL,RED,0,2020,-,0,,,,
1484765667,KEU8258,NY,PAS,2022-06-22T00:00:00.000,19,SUBN,SUBAR,P,77730,74630,86530,20220923,76,76,76,971812,0076,0000,1045A,K,F,SMITH ST,,0,408,E2,BBBBBBB,ALL,ALL,RED,0,2016,-,0,297,,,
1484766179,JRW7779,NY,PAS,2022-06-24T00:00:00.000,40,SUBN,BMW,P,12630,48830,27530,20230428,76,76,76,972403,0076,0000,1042P,,F,AMITY ST,,0,408,F1,BBBBBBB,ALL,ALL,GRY,0,2016,-,0,139,,,
1484767226,GDP3545,NY,PAS,2022-06-18T00:00:00.000,40,SDN,TOYOT,P,49630,32130,74630,20221226,76,76,76,963205,0076,0000,0915A,K,O,HICKS ST,,0,408,K6,BBBBBBB,ALL,ALL,BLU,0,2004,-,0,523-527,,,
1465497912,KLP7077,NY,PAS,2022-07-02T00:00:00.000,20,SUBN,,P,26490,98260,61490,0,44,44,0,931001,TD11,0000,0156P,BX,O,E 161 ST,,0,408,D,BBBBBBB,ALL,ALL,,0,0,-,0,1,,,
1484767238,HXF7569,NY,PAS,2022-07-02T00:00:00.000,14,SUBN,SUBAR,P,0,0,0,20240109,76,76,76,963205,0076,0000,0951A,K,,C/O SACKETT ST,I/O HICKS ST,0,408,E2,BBBBBBB,ALL,ALL,WHT,0,2017,-,0,,,,
1484767329,KNIGHT,CA,PAS,2022-06-22T00:00:00.000,51,MOTO,,P,53950,49630,0,0,76,76,76,963205,0076,0000,0946A,K,,KANE ST,HICKS ST,0,408,E2,BBBBBBB,ALL,ALL,BLK,0,2021,-,0,,,,
1484767640,KDW3804,NY,PAS,2022-06-14T00:00:00.000,74,SUBN,NISSA,P,29830,12630,19230,20220628,76,76,76,972580,0076,0000,0841P,K,F,COURT STREET,,0,408,F2,BBBBBBB,ALL,ALL,BRO,0,2011,-,0,168,0718P,,
1484768103,KHN2049,NY,PAS,2022-06-20T00:00:00.000,20,SUBN,HONDA,P,46830,83230,94230,20221111,76,76,76,972896,0076,0000,0958P,K,F,HAMILTON AVE,,0,408,E2,BBBBBBB,ALL,ALL,GRY,0,2012,-,0,101,0919P,,
1484768127,KKE4605,NY,PAS,2022-07-03T00:00:00.000,14,SUBN,HONDA,P,28430,25370,23830,20230224,76,76,76,972896,0076,0000,0239A,K,F,COLUMBIA STREET,,0,408,F1,BBBBBBB,ALL,ALL,BLACK,0,2015,-,0,466,,,
1484768139,KYE9414,NY,PAS,2022-07-03T00:00:00.000,20,SDN,FORD,P,49630,90930,61010,20240623,76,76,76,972896,0076,0000,0306A,K,O,HICKS ST,,0,408,C,BBBBBBB,ALL,ALL,WH,0,2012,-,0,779,,,
1484768231,JFW7779,NY,PAS,2022-06-16T00:00:00.000,40,SUBN,BMW,P,12630,48830,27530,20230428,76,76,76,972896,0076,0000,1225P,,F,AMITY ST,,0,408,D,BBBBBBB,ALL,ALL,GRAY,0,2016,-,0,139,1220P,,
1484768577,KVG5372,NY,PAS,2022-06-25T00:00:00.000,14,SDN,,P,0,0,0,20240325,76,76,76,972534,0076,0000,1142A,,,S/W/C/O CENTRE ST,CLINTON ST,0,408,E2,BBBBBBB,ALL,ALL,WHITE,0,2013,-,0,,1140A,,
1484768620,HVN3763,NY,PAS,2022-06-10T00:00:00.000,40,SUBN,TOYOT,P,33730,77730,51030,20221007,76,76,76,972534,0076,0000,1125A,K,F,DOUGLASS ST,,0,408,D,BBBBBBB,ALL,ALL,GRAY,0,2011,-,0,90,1123A,,
1484768644,JPM9520,NY,PAS,2022-06-22T00:00:00.000,16,SUBN,HONDA,P,28530,73270,86730,20240423,76,76,76,977534,0076,0000,1235P,K,F,COMMERCE ST,,0,408,F2,YYYYYYY,0700A,0600P,GRAY,0,2018,-,0,71,1230P,,
1484768656,JDS2095,NY,PAS,2022-06-22T00:00:00.000,14,SDN,NISSA,P,51830,88330,70830,20221116,76,76,70,972534,0070,0000,0205P,K,O,IMLAY ST,,0,408,K2,BBBBBBB,ALL,ALL,WH,0,2021,-,0,131,,,
1484768668,GD2556,NY,PAS,2022-06-23T00:00:00.000,17,SUBN,NISSA,P,86530,86730,28430,20220926,76,76,76,972534,0076,0000,1215P,K,O,UNION ST,,20220623,408,C,BBBBBBB,ALL,ALL,BLK,0,2021,-,0,82,1210A,,
1484768930,GGJ3782,NY,PAS,2022-06-20T00:00:00.000,98,SDN,CHEVR,P,15180,28430,49630,20240611,76,76,76,972615,0076,0000,1150A,NY,F,BALTIC ST,,0,408,E2,BBBBBBB,ALL,ALL,ORANG,0,2013,-,0,86,,,
1484768954,GDP3545,NY,PAS,2022-06-20T00:00:00.000,40,SDN,TOYOT,P,32130,49630,25630,20221226,76,76,76,972615,0076,0000,0200P,NY,F,DEGRAW ST,,0,408,F2,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,161,0200P,,
1484769429,JFW7779,NY,PAS,2022-06-24T00:00:00.000,40,SUBN,BMW,P,12630,48830,27530,20220428,76,76,76,972507,0076,0000,0809P,K,F,AMITY ST,,0,408,C4,BBBBBBB,ALL,ALL,GREY,0,2016,-,0,137,,,
1484769442,JFW7779,NY,PAS,2022-06-15T00:00:00.000,40,SUBN,BMW,P,12630,48830,27530,20230428,76,76,76,972507,0076,0000,1030P,K,F,AMITY ST,,0,408,E3,BBBBBBB,ALL,ALL,,0,0,-,0,139,,,
1484769454,HCR4935,NY,PAS,2022-06-15T00:00:00.000,98,SUBN,HONDA,P,46830,83230,94230,20231027,76,76,76,972507,0076,0000,1102P,K,F,HAMILTON AVE,,0,408,E2,BBBBBBB,ALL,ALL,,0,0,-,0,101,,,
1484770262,KPU4471,NY,PAS,2022-06-30T00:00:00.000,98,SDN,KIA,P,5630,5480,51030,20230831,76,76,76,972656,0076,0000,0242P,K,F,5TH STREET,,0,408,F4,BBBBBBB,ALL,ALL,WHITE,0,2015,-,0,25,,,
1484770274,K74PDE,NJ,PAS,2022-06-30T00:00:00.000,16,SDN,HONDA,P,5630,5480,51030,0,76,76,76,972656,0076,0000,0242P,K,F,5TH STREET,,0,408,F2,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,25,,,
1484770924,KKB5586,NY,PAS,2022-07-03T00:00:00.000,14,SDN,NISSA,P,28430,51630,88330,20230223,76,76,76,962519,0076,0000,0840P,K,F,COLUMBIA ST,,0,408,K2,BBBBBBB,ALL,ALL,GRAY,0,2017,-,0,421,,,
1484770936,KVC7160,NY,PAS,2022-07-04T00:00:00.000,14,SDN,MAZDA,P,34630,23830,68650,20240414,76,76,76,962519,0076,0000,0139A,K,F,DWIGHT ST,,0,408,C,BBBBBBB,ALL,ALL,GRAY,0,2007,-,0,106,,,
1484772192,HRF7476,NY,PAS,2022-06-11T00:00:00.000,98,SDN,BMW,P,72230,77730,51030,20230602,70,70,76,956039,0076,0000,0727A,,F,PRESIDENT ST,,0,408,E2,BBBBBBB,ALL,ALL,BLK,0,2020,-,0,300,,,
1484772209,JPB6390,NY,PAS,2022-07-02T00:00:00.000,14,SUBN,MITSU,P,28430,61010,25370,20240308,76,76,76,961388,0076,0000,1053P,K,F,COLUMBIA ST,,0,408,C,BBBBBBB,ALL,ALL,BLACK,0,2019,-,0,450,,,
1484773044,JPW4863,NY,PAS,2022-06-13T00:00:00.000,98,SUBN,TOYOT,P,90930,49630,48830,20220703,76,76,76,968324,0076,0000,0452P,NY,F,WEST 9 ST,,0,408,E5,BBBBBBB,ALL,ALL,PURPL,0,2017,-,0,53,,,
1484773056,KVG5372,NY,PAS,2022-06-27T00:00:00.000,14,SDN,ME/BE,P,0,0,0,20240325,76,76,76,968324,0076,0000,0520P,K,F,CENTRE ST,I/O CLINTON ST,0,408,E2,BBBBBBB,ALL,ALL,WH,0,2013,-,0,,,,
1484773445,GDP3545,NY,PAS,2022-06-19T00:00:00.000,40,SDN,TOYOT,P,32130,49630,25630,20221226,76,76,78,956837,0078,0000,0235P,K,F,DEGRAW ST,,0,408,F2,BBBBBBB,ALL,ALL,BLK,0,2004,-,0,161,,,
1484773627,KNJ3741,NY,PAS,2022-06-14T00:00:00.000,20,SDN,TOYOT,P,43230,29830,77730,20230619,76,76,76,971154,0076,0000,1205P,K,F,GARNET STREET,,0,408,F2,BBBBBBB,ALL,ALL,BLU,0,2006,-,0,37,1200P,,
1484773639,KNJ3741,NY,PAS,2022-06-14T00:00:00.000,48,SDN,,P,43230,29830,77730,20230619,76,76,76,971154,0076,0000,1205A,K,F,GARNET STREET,,0,408,D,BBBBBBB,ALL,ALL,BLU,0,2006,-,0,37,1200P,,
1484775119,KHK8857,NY,PAS,2022-07-09T00:00:00.000,98,SUBN,HONDA,P,19540,12790,12890,20221221,112,112,112,952268,0112,0000,1238A,Q,F,102 STREET,,0,408,C3,BBBBBBB,ALL,ALL,GY,0,2006,-,0,6210,,,
1484780796,GQH7507,OH,PAS,2022-06-21T00:00:00.000,98,SDN,TOYOT,P,8080,5280,5430,0,72,72,72,965960,0072,0000,0717A,K,O,30 ST,,0,408,E2,BBBBBBB,ALL,ALL,BL,0,2021,-,0,122,,,
1484780814,KLN1882,NY,PAS,2022-06-12T00:00:00.000,40,SUBN,LEXUS,P,9280,5680,5780,20230524,72,72,72,969796,0072,0000,0255A,K,F,54 ST,,0,408,E2,BBBBBBB,ALL,ALL,GREY,0,2021,-,0,631,,,
1484781211,JLE1690,NY,PAS,2022-06-11T00:00:00.000,98,SDN,NISSA,P,6930,5280,5430,20230908,72,72,72,970946,0072,0000,1124P,,F,18 ST,,0,408,E2,BBBBBBB,ALL,ALL,GRY,0,2012,-,0,163,,,
1484790893,KNU8782,NY,PAS,2022-06-21T00:00:00.000,46,,INFIN,P,5580,8580,8630,20240509,72,72,72,969404,0072,0000,1030P,K,F,5 AVE,,0,408,E5,BBBBBBB,ALL,ALL,WHITE,0,2016,-,0,4011,,,
1484790900,KSH3301,NY,PAS,2022-06-25T00:00:00.000,98,SDN,BMW,P,9280,5280,5430,20231021,72,72,72,969404,0072,0000,1042P,K,O,54 ST,,0,408,C,BBBBBBB,ALL,ALL,BLACK,0,2001,-,0,321,,,
1484791575,KVV5493,NY,PAS,2022-06-25T00:00:00.000,40,SDN,HONDA,P,9180,5280,5430,20240424,72,72,72,972428,0072,0000,0431P,K,F,52 STREET,,0,408,F2,BBBBBBB,ALL,ALL,RED,0,2019,-,2,345,,,
1484793766,JLN4807,NY,PAS,2022-06-25T00:00:00.000,98,SUBN,TOYOT,P,6730,6180,25340,20231002,72,72,72,971279,0072,0000,0812P,K,F,16TH STREET,,0,408,E2,BBBBBBB,ALL,ALL,GY,0,2015,-,0,597,,,
